,title,content
164, معماری داخلی فضاهای مسکونی,  از دیگر عوامل مؤثر بر طراحی فضاهای داخلی محیط پیرامون طرح است. در این رابطه مواردی نظیر شرایط محیط پیرامون طرح آب و هوایی محیط، مناظر موجود در پیرامون بنا و ساختمان همسایگان اطراف خانه می توانند مورد توجه و ارزیابی قرار گرفته و با توجه به آنها برای طرح فضاهای داخلی تصمیم گیری شود. در رابطه با شرایط آب و هوایی با توجه به اینکه در چه نوع آب و هوایی قرار داریم، مدت و نحوه تابش خورشید، میزان دما، بارندگی و رطوبت، بادهای غالب و مطلوب و نامطلوب منطقه چگونه است و مواردی نظیر اینها می توان برای جهت گیری فضاهای مختلف و چگونگی طرح کلی و جزئیات آنها فکرهایی کرد. برای مثال در مناطق سرد خوب است که برای بهره وری بیشتر از نور خورشید، کشیدگی ساختمان را در جهت شرقی غربی در نظر گرفت، و ورودی را به صورتی طراحی کرد که ضمن پاسخ گویی به عملکردهایش، به عنوان محفظه عایق هوایی بین درون و بیرون نیز عمل کند؛ و یا اتاق هایی را که به نور مستقیم خورشید نیازمند هستند در جبهه جنوب و در معرض تابش خورشید انتخاب کرد، و یا فرم، ابعاد و سایه بان پنجره ها را با توجه به محل قرارگیری فضای مربوطه آنها ( رو به شمال، جنوب، شرق و یا غرب ) با دقت و به درستی طراحی نمود.
165, تعلیمات دینی دوم دبستان سال ۱۳۲۸, کتاب حاضر شامل سرفصل درس تعلیمات دینی دوم دبیرستان مربوط به دوره قبل از انقلاب ( پهلوی ) بوده و توسط شرکت سهامی طبع و نشر کتابهای درسی ایران برای تدرس در مدارس، چاپ و منتشر شده است.
166, مکمل‌های غذایی ورزشی," کتاب مکمل‌های غذایی ورزشی نوشته‌ی سیده زهرا موسویان، به بررسی کلیه‌ی مواد مغذی غذایی و گیاهی که علاوه بر رژیم غذایی متعادل با هدف افزایش عملکرد بدنی مصرف می‌شوند، می‌پردازد. مکمل‌هایی که می‌توانند فایده‌ای برای ورزشکار داشته باشند، انگشت شمار هستند. آن‌ها نیز در شرایطی مفید خواهند بود که به درستی استفاده شوند. با همه‌ی این اوصاف، مصرف مکمل‌های غذایی در ورزش گسترده است و کمتر ورزشکاری وجود دارد که حدالاقل در برخی از مراحل دوره‌ی تمرین خود یک یا چند مکمل را امتحان نکرده باشد.,دلایل استفاده از مکمل‌ها توسط ورزشکاران:,– برای جبران نقایص تغذیه‌ای,– برای تطابق با تمرینات و مسابقات سخت,– برای بهبود عملکرد ورزشی,– سازگاری بهتر با تمرینات,– افزایش منابع انرژی,– امکان اجرای تمرینات سنگین و شدیدتر با تقویت بازیابی بین جلسات تمرین,– حفظ سالمت و کاهش وقفه‌های تمرینی ناشی از خستگی یا بیماری یا آسیب,– تقویت عملکرد رقابتی,– همرنگ شدن با هم تیمی‌ها یا تقلید از حریفان,– توصیه‌های مربی، والدین یا افراد تأثیرگذار دیگر"
167, استفتائات پزشکی," این مجموعه پاسخگوى نیازها و پرسش هاى فقهى دانشجویان رشته پزشکى و پزشکان و بیماران خواهد بود، بنابراین مطالعه دقیق آن به همگان، مخصوصاً این سه گروه توصیه مى شود.,فهرست :,احکام ویژه پزشکان,آموزش پزشکی,طهارت و نجاست,خون و فرآوردههای خونی,معاینه و درمان بیمار نامحرم,اضطرار و تشخیص مورد آن,چگونگی برخورد با بیماران,گرفتن حق الزّحمه,روش تشخیص و درمان پزشکی,آزمایشات و احکام آن,آزمایش و آزمایشگاه,باروری، جلوگیری از زایمان,تلقیح (باروری مصنوعی),جلوگیری از بارداری"
168, نقش خانواده در پیشگیری از انحرافات, اصلاح روابط خانوادگی، در پیشگیری از اعتیاد نوجوانان و جوانان نقش مهمی دارد. در بررسی زندگی معتادان، آشفتگی وضع خانواده به وضوح دیده می‌شود. اگر خانواده بتواند نقش اصلی خود را – که همان پناه دادن به فرزندان است – به خوبی ایفا کند و والدین علاوه بر نقش پدر و مادری، دوست و رفیق فرزندان خود باشند، آنان دیگر احساس خلأ نمی‌کنند و بعید است که به طرف اعمال خلاف مقررات و قوانین حاکم بر زندگی، از جمله اعتیاد بروند. والدین باید برای جلوگیری از انحراف‌های فرزندان، در چگونگی روابط خانوادگی خود حساس باشند و در روابط با فرزندان خود نهایت کوشش را داشته باشند. مبارزه با اعتیاد زمانی کامل می‌شود که فرد معتاد، به مشکل خویش پی ببرد و آن را بپذیرد. سپس در مراکز بازتوانی تحت مراقبت و درمان قرار گیرد تا با ارائه برنامه‌های ترک اعتیاد، شخصیت اصلی فرد معتاد به او برگردد و زندگی عادی خود را شروع کند که این برنامه نیز مستلزم همکاری و حمایت خانواده از فرد معتاد است.
169, دهان و دندان, کتاب دهان و دندان از مجله ویستا به بررسی مباحثی از قبیل: ۱۰ نکته درباره دهان‌شویه‌ها، ۱۲ کلید مسواک زدن، ۳ تکنیک به نفع دندان، ۷ تخصص دندانپزشکی، ۷ روش برای پیشگیری از ارتودنسی، ۷ سوالی که درباره حساسیت دندانی می‌پرسند، ۸ سوالی که مردم درباره لثه می‌پرسند، آب نمک بهترین ضدعفونی کننده دهان و دندان، آدامس بجویم یا نه؟، آدامس و سلامت دهان و دندان، آدامس هستم! دوست دندان‌های شما، آسیب فیزیکی دندان‌ها، آسیب‌های ناشی از دندان مصنوعی، آش نخورده دهان سوخته و … می‌پردازد.
170, مدیریت بحران, مدیریت بحران از اصطلاحات حوزه مدیریت است، که به مجموعه‌ای از فعالیت‌ها، چاره جویی‌ها و دستورالعمل‌هایی اطلاق می‌گردد، که مدیریت یک سازمان، در چالش با بحران انجام می‌دهد و هدف آن کاهش روند، کنترل و رفع بحران است. بطور کلی مدیریت بحران بمعنای سوق دادن هدفمند جریان پیشرفت امور، به روالی قابل کنترل و انتظار بازگشت امور در اسرع وقت، به شرایط قبل از بحران است. به‌اختصار، مدیریت بحران، کلیه اقدامات مربوط به پیشگیری و مدیریت ریسک، سازماندهی و مدیریت منابع مورد نیاز در پاسخ به بحران می‌باشد. مدیریت بحران علمی کاربردی است که به وسیله مشاهده سیستماتیک بحران‌ها و تجزیه و تحلیل آنها، در جستجوی یافتن ابزاری است، که به وسیلهٔ آن‌ها بتوان از بروز بحران‌ها، پیشگیری نمود یا در صورت بروز آن، در خصوص کاهش اثرات بحران، آمادگی لازم امداد رسانی سریع و بهبودی اوضاع، اقدام نمود.
171, فرهنگ لغت انگلیسی به فارسی ۲۱۰۰۰ واژه آزمون‌های زبان انگلیسی,یکی از پر چالش ترین بخش های آزمون های مختلف زبان انگلیسی بخصوص تافل و آیلتس، واژگان دشوار و فرار می باشد. دقیقا نقطه ای که طراحان آزمون های مختلف بر آن دست می گذارند. به این موضوع مهم دقت بفرمایید که هیچ لیست مشخصی از واژگان برای آزمون های تافل و ایلتس وجود ندارد. تنها برخی کلمات هستند که تکرار بیشتری دارند و بعضی از آنها مشکل تر هستند.  سعی کنید لغات را در متون انگلیسی یاد بگیرید زیرا بهترین روش یادگیری لغات زبان انگلیسی یادگیری لغات در متن های انگلیسی است. مورد دیگر ، تکرار خواندن لغات بعد از یادگیریست، سعی کنید حداقل ۲۴ ساعت بعد از یادگیری اولیه لغات آنها را مرور کنید. مرور بعدی خیلی بهتر است که ۳ روز بعد باشد و به همین ترتیب تکرار لغات را ادامه بدهید. هر چند وقت یک بار هم بهتر است برگردید به عقب و لغات یادگرفته شده قبلی را نیز مرور کنید
172, سکه شناسی ایران,"سکه و شناخت سکه یکی از مهم ترین مباحث علم باستان شناسی است . امروزه افراد و مجموعه داران مختلف به گردآوری انواع سکه ، تمبر ،اسکناس،اشیاءعتیقه ،نگهداری حیوانات مختلف و … می پردازند البته گردآوری هر کدام از موارد گفته شده بر اساس علاقه و انگیزه های فردی می باشد . بهتر است که ما اگر قصد تهیه ی مجموعه ای را داریم از همان آغاز کار ، با اصول و روش علمی کار آشنا باشیم تا نتیجه ای بهتر عایدمان شود . ما برای کمک به علاقه مندان گردآوری سکه ،از طریق معقول راهنمایی هایی را که به نظرمان رسیده و لازمه گردآوری سکه است را بر اساس منابع موجود و در حد توان ،ارائه داده ایم . امید آن داریم که مورد استفاده شما خواننده محترم قرار گیرد.,فن شناخت سکه را «سکه شناسی » نامند و کسی که سکه را بشناسد و سکه اصل را از سکه تقلبی تشخیص دهد «سکه شناس» گویند . در اصطلاح فرانسوی نومیس متیکو «Namis matigue»شاخه ای از باستان شناسی که به بررسی و شناسایی سکه ها و کشف حقایق و دست یابی به واقعیت ها از آن میان ، می پردازد . سکه شناسی خیلی از حوادث را برای ما روشن می کند از جمله خطوط و وقایع تاریخی،خط و زبان های رایج در گذشته خاموش ، رسوم و عادات ، تشریفات مذهبی ، طرز لباس و آرایش شاهان و فرمانروایان و به طور کلی بیانگر اوضاع اقتصادی ، اجتماعی ،سیاسی و هنری گذشته می باشد . سکه تاریخ مجسم بشر است و از طریق آن می توانیم آثار و ابنیه تاریخی را بازسازی نماییم و در علم باستان شناسی یکی از راه های تعیین قدمت اشیاء ،استفاده از سکه است ."
173, سفرنامه عکاس جوان,این کتاب دارای شصت و شش صفحه‌ و شامل هفت پروژه است که نوجوانان را تشویق به جستجوگری٬ پرسشگری می‌کند و به آنها کمک می‌کند تا داستان‌ها و احساسات‌شان را در قالب تصویر با دیگران در میان بگذارند. این کتاب از عکاسی و داستان‌گویی تصویری استفاده کرده تا علاوه بر آموزش یک هنر به نوجوانان٬ آنها را با حقوق و دنیای اطراف خود آشنا کند. روشی که در این کتاب برای آموزش انتخاب شده به نوجوانان نقش فعالی در یادگیری می‌دهد. نوجوانان تنها خواننده٬ گیرنده و منفعل نیستند بلکه در فرآیند یادگیری به صورت فعال حضور دارند. با انجام پروژه‌های این کتاب شما متوجه خواهید شد وقتی که رویاپردازی٬ تخیل و احساسات٬ داستان‌گویی وعکاسی را یک‌جا و باهم استفاده کنید چه اتفاقی می‌افتد. داوود موسوی و اوا کائون نویسندگان «سفرنامه‌ی عکاس جوان» این کتاب را برای استفاده‌ی عموم در اختیار کانون عکاسان جوان قرار داده‌اند
174, دستور جامع زبان فارسی,دستور جامع زبان فارسی نوشته‌ی استاد زنده‌یاد عبدالرحیم همایونفرخ کاشانی – هموند فرهنگستان نخست – است که چاپ سوم آن که هفت دفتر در یک دفتر است به کوشش فرزند وی زنده‌یاد دکتر رکن‌الدین همایونفرخ به چاپ رسیده و سال‌ها یگانه سرچشمه‌ی دستور زبان فارسی بوده است. همایونفرخ که در تیرماه ۱۳۳۸ خورشیدی درگذشت، بیش از ۴۰ سال از زندگی خود را برای نوشتن این دستور گذاشت. در این کتاب شاید برای نخستین بار کوشیده شده است که دستورهای زبان فارسی از خود زبان و به دیگر سخن با بررسی نوشته‌های سخنوران برگزیده تا سده‌ی هشتم شناسایی و فراهم شود.
175, اداره و مدیریت‎, مدیر در لغت به معنی اداره کننده و کارگردان میباشد و در اصطلاح مدیر شخصی است که مسئولیت تنظیم نمودن عملکرد تیم خود را بعهده دارد. “مدیریت” از یک کلمهء قدیمی فرانسوی  ménagementکه به معنی راه اندازی ، هدایت و نظارت میباشد ، گرفته شده که این کلمه خود از دو کلمه لاتینی manu agere که به معنی هدایت نمودن توسط دست میباشد ، اقتباس گردیده است که مفهوم کنونی آن رهنمائی، رهبری وهدایت نمودن تمام پروسه های کاری یک سازمان از طریق توسعهء نیروی کار و تنظیم منابع مختلف مانند ( منابع بشری ، مالی ، محسوس و غیرمحسوس) میباشد. اداره عبارت از یک نظام اجتماعی است که به اساس روشها و شالوده های خاصی بنا نهاده شده و در آن عدهء کثیری از افراد به منظور رسیدن به یک سلسله اهداف نسبتا مشخص به انجام وظایف متنوع و دقیق مشغول اند. در اداره، پروسهء قرار دادن اشخاص در کنار هم، بخاطر ایجاد سهولت در کارها و رسیدن به اهداف مشخص مورد نظراست تا درآن از منابع مختلف بشکل موثر و مثمر استفاده بعمل آید و در نتیجه قناعت و رضایت جوانب ذیدخل برآورده میگردد.
176, فرهنگ لغات عامیانه, نخستین کسی که اقدام به گردآوری اصطلاحات عامیانه نمود محمد علی جمالزاده بود.ایشان در سال ۱۳۳۰ کتابی با نام (یکی بود یکی نبود) منتشر ساخت و در این کتاب که مجموعه ای از چند داستان کوتاه بود ضمن مقدمه ای اظهار داشت که باید نویسندگان فارسی دیگر سبک پیچیده و درباری مرسوم را کنار بگذارند و توجه بیشتری به کلمات عوامانه کنند و اظهار داشت که نوشته های ادبا به گونه ای باشد که عوام بفهمند (خدایش بیامرزد) و خواص بپسندند و او این امر را دموکراسی ادبی نامید.جمال زاده در انتهای کتاب یکی بود یکی نبود مجموعه ای از اصطلاحات و لغات عامیانه را گردآوری کرد که شاید بتوان گفت این اقدام نخستین تلاش برای ثبت و ضبط زبان محاوره ای فارسی بو.جمال زاده در سال های بعد (۱۳۴۱) کار خود را توسعه داد و کتابی حجیم در ۵۸۶ صفحه به نام فرهنگ لغات عامیانه منتشر ساخت. در این کتاب هزاران اصطلاح و واژه های عامیانه را جمع آوری و معانی آنها را توضیح داد.
177, هجده قانون طلایی موفقیت," چرا باید با این قوانین آشنا شویم؟برای رسیدن به موفقیت در زندگی تنها تلاش کافی نیست. بلکه شما باید با قوانینی آشنا شوید که با به‌کارگیری آن‌ها سریع‌تر و راحت‌تر به اهدافتان دست می‌یابید.شما یک نفر را در نظر بگیرید که قصد رانندگی از شهری به شهر دیگر را دارد .اگر این شخص با قوانین راهنمایی و رانندگی آشنا نباشد چه می‌شود. او هرگز نمی‌تواند بدون آسیب زدن به خودش و دیگران این مسیر را طی نماید.و امکان رسیدنش به مقصد بسیار کم بوده و خطرات فراوانی او و دیگران را در این مسیر تحدید خواهد کرد.میزان راحتی و سرعت این راننده دررسیدن به مقصدش به میزان آشنایی او با قوانین راهنمایی و رانندگی بستگی دارد.هر چه با قوانین آشناتر باشد سفر لذت‌بخش‌تر و امن‌تری خواهد داشت.زندگی هم مثل رانندگی است .هر چه شما با قوانین زندگی بیشتر آشنا باشید،زندگی بهتر و راحت‌تری خواهید داشت.دانستن این قوانین کار شمارا بسیار راحت می‌کند. تمام موفقیت‌ها با توجه به این قوانین صورت می‌پذیرد. با آگاهی از این قوانین بسیار قدرتمند شده و با به کار بردن آن‌ها در زندگی‌مان به‌راحتی به همه اهدافمان دست پیدا خواهیم کرد.,قانون علت و معلول,قانون ذهن و عینیت یافتن ذهنیات,قانون باور,قانون تمرکز و انتظار,قانون انتخاب,قانون تفکر مثبت,قانون تغییر,قانون مسئولیت‌پذیری,قانون پاداش,قانون تأثیر تلاش,قانون آمادگی,قانون شفافیت,قانون ظرفیت,قانون قیمت,قانون شناخت,قانون علم و فن,قانون هماهنگی,قانون جذب: مهم‌ترین قانون در جهان هستی"
178, ASP.Net Core به زبان ساده,داده‌ها در همه جا با سرعت باور نکردنی در حال رشد هستند و میلیون‌ها برنامه‌ی کاربردی از این داده‌ها استفاده می‌کنند. اما خبر خوب برای شما: هنوز میلیون‌ها برنامه‌ی کاربردی، تولید نشده و مهارت شما برای این شغل بسیار مورد نیاز است. متأسفانه فشار برای تولید و توسعه‌ی نرم‌افزار، بسیار بالاست و همین می‌تواند شروعی برای حرکت دوباره باشد. اما چطور این حرکت دوباره را شروع کنیم؟ برای این حرکت دوباره باید به بازار کار نگاهی بیندازید. همه چیز به سمت جدیدترین و بروزترین تکنولوژی‌ها در حرکت است. پس بیایید برای این حرکت دوباره، شما هم با بروزترین تکنولوژی‌ها شروع کنید.  در این کتاب سعی شده، ایده‌ی‌ یادگیری و تولید کدهای عالی با روشی کاملاً ساده و روان بیان شود و تمرکز آن بر ساخت برنامه‌ای کاربردی و تنظیم عملکرد شما در برنامه‌نویسی است. موضوع اصلی اثر، فریم ورک ASP. NET Core و هدف آن، آموزش مفاهیم اساسی برای تولید یک وب اپلیکیشن است.  در این کتاب سعی شده از جنبه‌های متفاوت، نکات و تکنیک‌هایی بیان و گاهی با یک مثال، همه چیز ملموس‌تر شود. شما خیلی سریع دست به کد خواهید شد و لذت برنامه‌نویسی، با رویکردهای جدید را حس خواهید کرد.
179, تقویم انگیزشی ۱۳۹۸, در کتاب الکترونیکی تقویم انگیزشی ۱۳۹۸ اثر شهریار مرزبان، سعی شده ابعاد مختلف زندگی مورد توجه قرار بگیرد، تا بتوانیم در همه‌ی ابعاد زندگی خود رشد و پیشرفت داشته باشیم. نویسنده مانند تقویم ۹۷ ابتدا به تشریح اهمیت هدف‌گذاری، برنامه‌ریزی و مثبت اندیشی به صورت کامل اشاره کرده است و هم‌چنین مواردی مثل تغییر عادات، اهمیت مطالعه روزانه، اهمیت ورزش و اهمیت شکرگزاری را مورد بررسی قرار داده و در هر روز برای این موارد جایی را در نظر گرفته که آن‌ها را فراموش نکنید و در برنامه روزانه خود جای بدهید. در بخش بعد این کتاب، تقویم سال ۱۳۹۸ در ۷۰ صفحه برایتان فراهم شده و یک ستون از تقویم را به متن‌های انگیزشی و ستون دیگر را به اهداف روزانه و ستون‌های دیگر را به کار‌های ضروری که به رشد شما منجر می‌شود، تقسیم شده تا هر روز را با انرژی مثبت شروع کنید و با پیشروی به سوی اهداف به اتمام برسانید
180, آرامش زندگی‌ام را زیباتر می‌سازد,کتاب آرامش زندگی‌ام را زیباتر می‌سازد تألیف گروه تحقیقاتی لیمبیکسا، به شما کمک می‌کند تا احساس خوب آرامش و رسیدن به هماهنگی را تجربه کنید. وقتی به هماهنگی ذهن و روح برسید، صاحب تجربه‌ی لحظه‌ای می‌شوید که تمام وجودتان را پر از وجد، شور و شوق می‌نماید! این همان لحظه‌ای است که در خانه‌ی وجودتان را به روی همه‌ی چیزهای خوب گشوده‌اید! کافی است فقط به رویایتان، به آنچه که می‌خواهید، وفادارتر باشید و با آرزویتان همراه شوید.
181, آموزش جامع و گام به گام ورد,ورد برنامه ایست که برای تایپ و نوشتن کار های اداری استفاده میشود. ورد در مجموعه ای به نام آفیس است که آفیس از چند برنامه مهم سررشته میگیرد مانند پاورپوینت ،اکسل و…که سازنده این مجموعه فردی به نام بیل گیتس در ساختمانی واقع در شهر نیویورک در سال ۲۰۰۳ تاسیس کرد ک باعث شد اکثر افراد و شرکت ها و…از این برنامه یا برنامه های دیگر که در مجموعه قرار دارد استفاده کنند و این موضوع باعث شد که شرکت آفیس در هر سال یک آپدیت جدید برای این مجموعه به بازار می دهد که قیمت این مجموعه حدود شش دلار بیشتر از مجموعه قبلی است است. در ورد کار های زیادی مانند تنظیم های: پاراگراف، طراحی صفحه تایپ و طراحی فونت، چیدمان متن،اندازه های متن و کادر هایی که باعث جلوه دادن به تایپ میشود.
182, انسان در چرخه جهان و انسان در چرخه زندگی‎," آنچه در این کتاب آمده است نتایجی است انکار ناپذیر از مجموعه دانسته های انسان و دست آوردهای تکنولوژیکی او و بر نویسنده حرجی نیست اگر برخی از نتایج حاصله از مقدمات ذکر شده مغایر با باورهای رایج و جمعی بوده باشد. با این حال تسری این نتایج به اموری سیاسی و نتیجه گیری های غیر واقعی مورد تائید نویسنده نخواهد بود و پاسخ به آنها را باید در جای دیگری جستجو نمود.,سرچشمه و آغاز هیچ چیز انسانی در بیرون از انسان و آنچه او را شکل میدهد نیست، همه چیز در رابطه با انسان شکل میگیرد، با نادیده گرفتن انسان و آنچه او را شکل میدهد و تحت هرعنوان هیچ بحثی در هیچ زمینهای به نتیجه نمیرسد. در آغاز هر بحثی باید انسان بعنوان اصلی ترین موضوع و موجود و عامل مورد نظر قرار گیرد، بدون توافق در مورد این مقوله اصلی یعنی انسان و خصوصیات و ساختار او هر بحثی به بیراهه میرود و نتایجی بی معنی و تهی بدست خواهد آمد."
183, گلستان سعدی,"سعدی نگارش کتاب گلستان را کمتر از یک سال بعد از تدوین بوستان، در اول اردیبهشت سال ۶۵۶ هجری شروع کرد و «هنوز از گلِ بوستان بَقیّتی موجود بود» که نگارش آن را به پایان رساند؛ بنابراین کتاب گلستان در مدت پنج یا شش ماه نوشته شد که -به نظر محمدعلی همایون کاتوزیان، منتقد ادبی- شبیه به معجزه است. همایون کاتوزیان با توجه به شواهدی در گلستان، معتقد است که سعدی پس از نگارش بوستان دچار نوعی افسردگی شد و با این فکر که عمر خود را به بطالت گذرانده و به ایام پیری رسیده‌است، دست از کار کشید؛ اما دوست یا دوستانی او را به نوشتن کتاب جدیدی مصمم کردند. نگارش کتاب گلستان در این مدت کوتاه، می‌تواند نشانی از فرح و انبساطی باشد که پس از یک دوره افسردگی -موقتاً- بروز می‌کند.,قدیمی‌ترین نسخه خطی به جا مانده از گلستان سعدی، نسخه‌ای تذهیب‌کاری شده از یاقوت مستعصمی است که به سال ۶۶۸ هجری بازمی‌گردد. در این سال، سعدی هنوز در قید حیات بوده‌است. اما از آنجا که اطلاعات شناسنامه‌ای این نسخه خوانا نیست، به‌عنوان یک نسخه معتبر مورد توجه محققان قرار نگرفته‌است. نخستین نسخه چاپی از گلستان در سال ۱۶۵۱میلادی در آمستردام و به زبان لاتین توسط Gentius منتشر شد. با این حال، تا اوایل قرن نوزدهم میلادی که نسخه‌هایی از کلیات در کلکتهٔ هند منتشر شد، خبری از چاپ گلستان یا کلیات سعدی در کشورهای اسلامی نبود. کتاب گلستان یکی از نخستین کتاب‌های فارسی است که با استفاده از ماشین چاپ منتشر شده. این کتاب نخستین بار در سال ۱۸۲۴ میلادی در تبریز و بعد از آن در سال ۱۸۴۷ در تهران به چاپ رسید. در این سده همچنین نسخه‌هایی از گلستان در استانبول، قاهره، پاریس، لایپزیک، برلین، انگلستان و بیش از صد مرتبه در هندوستان چاپ شد."
184,  ۱۷ تمرین موفقیت و ثروت, اصطلاح موفقیت از جمله اصطلاحاتی است که متاسفانه خیلی ها متناسب با معلومات و نگرش خود آن را تعریف کرده اند. یکی از دلایل عمده تعدد تعاریف موفقیت، برداشت های گوناگونی بوده که از این مفهوم شده است. چه بسا افرادی که به دلیل دستیابی به خواسته هایشان، خود را موفق و کامیاب می پندارند، اما این موفقیت از نظر دیگران چندان ارزش و اعتباری ندارد. و یا افرادی هستند که احساس می کنند، موفق شده اند اما در حقیقت چنین نیستند. انسانی را موفق می گویند که توانسته باشد بین تلاش ها و اهدافش سازگاری و انطباق ایجاد کند و سعی و کوشش خود را قرین و همراه اهداف خویش قرار دهد. به عبارت دیگر، انسان به هدف رسیده را انسان موفق می گویند. اهداف انسان، متنوع و از سطوح و مراتب متعددی برخوردار است. بنابراین، موفقیت یک تعریف ندارد؛ بلکه هر فرد بسته به این که هدف او چه باشد، تعریف خاصی از آن به دست می آورد.
185, کدنویس یک روزه,کتاب کدنویس یک روزه تألیف پدرام رحیمی، با ارائه‌ی روشی خارق‌العاده شما را در مسیر ساخت برنامه‌های مختلف به نام خودتان و در کوتاه‌ترین زمان ممکن یاری می‌کند. ساخت سایت اینترنتی، اپلیکیشن موبایل، دیسک‌های مالتی مدیا یا بانک‌های اطلاعاتی را بدون دردسر و خواندن کتاب‌های قطور فرا بگیرید! اگر به برنامه‌نویسی علاقه‌مند یا در آن تازه‌کار هستید، این مجموعه کمک می‌کند مسیر کاربردی را طی کرده و یک روزه برنامه‌سازی مفید شوید. اگر قصد دارید ادمین یک سایت باشید یا حتی یک اپلیکیشن به نام خودتان بسازید این مجموعه برای شماست. در این کتاب با نیازهای مدرن جامعه در مسیر تولید نرم افزار آشنا شده و تولید برنامه را تجربه می‌کنید.
186, ۱۷۰۰۰ واژه ضروری آزمون های زبان انگلیسی, یکی از پر چالش ترین بخش های آزمون های مختلف زبان انگلیسی بخصوص تافل و آیلتس، واژگان دشوار و فرار می باشد. دقیقا نقطه ای که طراحان آزمون های مختلف بر آن دست می گذارند. به این موضوع مهم دقت بفرمایید که هیچ لیست مشخصی از واژگان برای آزمون های تافل و ایلتس وجود ندارد. تنها برخی کلمات هستند که تکرار بیشتری دارند و بعضی از آنها مشکل تر هستند.  سعی کنید لغات را در متون انگلیسی یاد بگیرید زیرا بهترین روش یادگیری لغات زبان انگلیسی یادگیری لغات در متن های انگلیسی است. مورد دیگر ، تکرار خواندن لغات بعد از یادگیریست، سعی کنید حداقل ۲۴ ساعت بعد از یادگیری اولیه لغات آنها را مرور کنید. مرور بعدی خیلی بهتر است که ۳ روز بعد باشد و به همین ترتیب تکرار لغات را ادامه بدهید. هر چند وقت یک بار هم بهتر است برگردید به عقب و لغات یادگرفته شده قبلی را نیز مرور کنید
187, محبت ماندگار و رابطه‌ی جنسی رضایت ‌بخش, دکتر هارویل هندریکس (Harville Hendrix) و همسرش دکتر هلن لاکلی هانت (Helen LaKelly) نویسندگان این کتاب، بعد از سی سال زندگی مشترک، هنوز هم می‌توانند عشق‌ورزی کنند و از رابطه‌ی جنسی لذت ببرند. شما نیز برای نیل به چنین رابطه‌ای باید تمرکز‌تان را از رابطه‌ی جنسی بردارید و به بهبود رابطه‌تان توجه کنید. در این صورت است که به آرامی رابطه‌ی جنسی لذت‌بخش و پایدار خود را نشان خواهد داد. در فرهنگ امروزی تعبیر «عشق‌ورزی» معمولاً با «رابطه‌ی جنسی» تداعی می‌شود، اما تفاوت بسیار زیادی بین این دو وجود دارد. عشق‌ورزی مفهومی فراتر و گسترده‌تر از رابطه‌ی جنسی است. «عشق ورزیدن» به رابطه‌ای اطلاق می‌شود که در آن، زوجین احساس امنیت می‌کنند، گفت‌وگو و ارتباط بی‌پرده و شفاف مورد تشویق است، و هر یک از زوجین تفاوت‌های طرف مقابلش را می‌پذیرد؛ اما «رابطه‌ی جنسی» پیامد طبیعی چنین محیط امن و مثبتی است و باعث می‌شود رابطه‌ی بین زوجین هرچه بیشتر بهبود یابد. بنابراین، کلید دستیابی به رابطه‌ی جنسی لذت‌بخش آموختن عشق‌ورزی واقعی است.
188, ضدگلوله – راه کارهای کاملا عملی افزایش سریع درآمد در بازار ایران,"یکی از ویژگی‌های کتاب‌های پرفروش دنیا جدای از محتوای داخل کتاب، استفاده از اسم جذاب برای جذب مخاطب است، در حقیقت هدف اسم کتاب جلب توجه و جلب نظر مخاطب است، بسیاری از کتابها خصوصا کتابهای حوزه کسب‌و‌کار و بازاریابی اسامی دارند که حتی شاید بی ربط با موضوع و صرفا برای متمایز شدن و خاص شدن از سایر کتابها نام گذاری شده اند.,همین که در حال خواندن این متن هستید نشان می‌دهد که ضدگلوله کار خودش را به خوبی انجام داده است، وظیفه ضدگلوله و انتخاب این اسم برای یک کتاب کسب‌و‌کاری این بوده است که خودش را از خیلی از کتاب‌ها با موضوعات مشابه و اسم‌های تکراری متمایز کند، اما این فقط بخشی از این سناریو است، انتخاب نام ضدگلوله به عنوان یک کتاب آموزشی آن هم در زمینه رشد کسب‌و‌کار و افزایش درآمد فقط برای جذب مخاطب نبوده است، در واقع ضد گلوله بودن اصلی است که در بازار امروز بیش از همیشه به آن نیازمندیم.,پس ضدگلوله نه تنها بی ارتباط با کسب و کار نیست بلکه ضرورتی است برای حفظ و رشد کسب‌و‌کارها آن هم در شرایطی که تغییرات به سرعت در حال اتفاق هستند. ما در شرکت و سایت مسیر طلایی به افراد و کسب‌وکارهای زیادی کمک کرده‌ایم تا بتوانند کسب‌و‌کار خودشان را رشد بدهند و به این اصل معتقدیم که برای راه‌اندازی کسب‌و‌کار همچنین توسعه و رشد آن به پول و سرمایه نیاز نیست بلکه بهره‌گیری از دانش جدید و استراتژی شما را متفاوت از سایر رقیبان می‌کند. کتاب ضدگلوله کتاب استراتژی است، شما در این کتاب می‌آموزید که چگونه بدون نیاز به پول کسب‌و‌کارتان را رشد بدهید"
